#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Pharaohs","SBTRKT,Roses Gabor",0,127,"electronica, electropop, future garage, indie soul, new rave, uk bass, shiver pop","Rock, Pop, Dance/Electronic, R&B","SBTRKT",2011-06-27,3:38,80,58,1,74,64,0,10,-9,F Minor,4,2018-12-18,3Ve96alMjeaChfLbszJoKZ,"Young Turks Recordings",4A,,https://i.scdn.co/image/ab67616d0000485122d353af2286937c261f4b3e
2,"Síguelo Bailando","Ozuna",65,98,"puerto rican pop, reggaeton, trap latino, urbano latino","Latin","Odisea",2017-08-25,3:46,86,66,17,0,63,0,0,-7,A Minor,4,2019-01-20,5Y9fnynLlIvqtM710MHzfz,"VP Records Corp/Dimelo Vi",8A,https://p.scdn.co/mp3-preview/b40a258024107514e550463b2dca1199775d87df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0a875d7f1bfe4ec4aaffa48
3,"Forbidden","Dwson,Sio",0,118,"south african house","Dance/Electronic","Impulsiv",2018-06-08,6:16,79,70,16,19,34,0,0,-8,G#/A♭ Minor,4,2019-01-20,3LSqUGeUsyUo5a1IFzAruE,"Stay True Sounds",1A,,https://i.scdn.co/image/ab67616d000048517c980dc1e7a9ac2c10a04899
4,"Fantasies","Biyo",0,90,"","","Fantasies",2017-10-06,3:23,64,52,4,0,53,10,10,-5,G#/A♭ Minor,4,2019-01-20,21mOjagRSY1WqtPvgrAYLE,"Future Classic",1A,,https://i.scdn.co/image/ab67616d000048514b213569bf71069a8fca92b3
5,"Mar Vista","Pat Lok",0,124,"filter house, indie soul, nu disco","Dance/Electronic, R&B","Hold On Let Go",2017-06-23,3:06,75,84,5,1,47,40,10,-4,F#/G♭ Minor,4,2019-01-20,5WCHG7Dir121gkdIgoa2Ia,"Kitsuné Musique",11A,,https://i.scdn.co/image/ab67616d000048516faf2bf8d22d3ebb8a29713a
6,"Don't U Want Me (feat. Blair De Milo)","Young Franco,Blair De Milo",33,118,"aussietronica, indie soul, ","Dance/Electronic, R&B","Don't U Want Me (feat. Blair De Milo)",2016-01-22,3:27,90,46,22,0,59,60,20,-8,G#/A♭ Minor,4,2019-01-20,5OWBQmdap7NFctFB3PGs8H,"Of Leisure",1A,https://p.scdn.co/mp3-preview/68bb580ad078fd1ffa7e0d652651a707e81ac983?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b01e810e3da54571944d10e
7,"She's so Untouchable - Original Mix","Garden City Movement",24,102,"israeli indie","Jazz","She's So Untouchable",2017-02-10,3:44,75,78,10,5,69,0,10,-5,E Minor,4,2019-01-20,5pHwg7ezzqFF5VIuIeSJhd,"BLDG5",9A,https://p.scdn.co/mp3-preview/ad79c698f9ccb27d7d678a4eab42ca0cfcec1847?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512eefe210d968561cb43f036d
8,"Repeat","Young the Giant",41,150,"modern alternative rock, modern rock, rock, stomp and holler","Rock, Folk/Acoustic","Home of the Strange",2016-08-12,3:05,66,81,5,0,57,0,30,-5,C♯/D♭ Major,4,2019-01-20,7w5Ww1cW8U9v8Q3g4qLpVD,"Fueled By Ramen",3B,https://p.scdn.co/mp3-preview/297358ec8db48236134347d20b8458b4722ed74f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1b41f261acaa01849b42991
9,"Why Are Sundays So Depressing","The Strokes",64,110,"alternative rock, garage rock, modern rock, permanent wave, rock","Rock, Blues","The New Abnormal",2020-04-10,4:35,58,71,0,3,30,0,10,-4,C Major,4,2020-12-31,1aOxOpH4AkGAd8OMrKjyNY,"Cult Records/RCA Records",8B,https://p.scdn.co/mp3-preview/fc8cad3fcea32591beb040f14787559dca15a27c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bfa99afb5ef0d26d5064b23b
10,"High Five","Sigrid",47,150,"norwegian pop, pop","Pop","Raw",2018-07-11,2:49,65,63,17,0,51,10,0,-6,C♯/D♭ Major,4,2019-01-20,6dpaekNzHZDhwd9QDayrbB,"Universal-Island Records Ltd.",3B,,https://i.scdn.co/image/ab67616d00004851ef0d29efc80987efba1a343d
