,Artist
0,"{'SBTRKT': 'England', 'Roses Gabor': 'United Kingdom'}"
1,{'Ozuna': 'Puerto Rico'}
2,"{'Dwson': 'N/A', 'Sio': 'N/A'}"
3,{'Biyo': 'N/A'}
4,{'Pat Lok': 'N/A'}
5,"{'Young Franco': 'Australia', 'Blair De Milo': 'N/A'}"
6,{'Garden City Movement': 'Israel'}
7,{'Young the Giant': 'U.S.'}
8,{'The Strokes': 'U.S.'}
9,{'Sigrid': 'Norway'}
10,"{'Cupidon': 'N/A', 'UMI': 'N/A'}"
11,{'St. Vincent': 'U.S.'}
12,"{'Billie Eilish': 'U.S.', 'Vince Staples': 'U.S.'}"
13,{'Rostam': 'Afghanistan'}
14,{'C. Tangana': 'Spain'}
15,{'TEMPOREX': 'N/A'}
16,{'Rice & Beans Orchestra': 'N/A'}
17,"{'Whethan': 'US', 'Oliver Tree': 'U.S.'}"
18,{'Saison': 'United Kingdom'}
19,{'Paramore': 'U.S.'}
20,{'EARTHGANG': 'U.S.'}
21,"{'Calvin Harris': 'Scotland', 'Dua Lipa': 'England'}"
22,{'Two Door Cinema Club': 'Ireland'}
23,"{'Nao': 'N/A', 'Shareware': 'N/A'}"
24,"{'Leon': 'Japan', 'Shaf Huse': 'Italy'}"
25,{'Jarami': 'Sweden'}
26,{'Codes': 'United States of America'}
27,"{'Kendrick Lamar': 'U.S.', 'SZA': 'U.S.'}"
28,{'BENEE': 'New Zealand'}
29,{'Miguel Bastida': 'N/A'}
30,{'Cut Snake': 'Australia'}
31,{'SHAED': 'United States of America'}
32,{'Latmun': 'United Kingdom'}
33,{'Evergreen': 'N/A'}
34,{'Dauwd': 'United Kingdom'}
35,{'Phoenix': 'France'}
36,{'Gibbz': 'N/A'}
37,{'Hippo Campus': 'N/A'}
38,"{'Solardo': 'United Kingdom', 'Wade': 'Spain'}"
39,"{'Satin Jackets': 'Germany', 'Panama': 'N/A'}"
40,{'SHAED': 'United States of America'}
41,"{'Chocolate Puma': 'Netherlands', 'Tommie Sunshine': 'U.S.', 'DJ Funk': 'United States'}"
42,{'Croatia Squad': 'N/A'}
43,{'Cleopold': 'N/A'}
44,{'Rebūke': 'Ireland'}
45,"{'Prunk': 'Slovenia', 'Aron Volta': 'N/A'}"
46,{'S.A.M.': 'Netherlands'}
